iter	Passed	Remaining
0	5	521
1	10	529
2	16	524
3	21	504
4	26	497
5	32	516
6	39	530
7	45	523
8	51	519
9	57	517
10	62	506
11	68	501
12	73	494
13	79	489
14	84	480
15	88	466
16	93	456
17	97	444
18	101	431
19	105	422
20	109	412
21	115	407
22	121	406
23	127	403
24	131	394
25	136	389
26	140	380
27	144	371
28	149	364
29	153	357
30	156	349
31	161	342
32	165	335
33	169	328
34	173	322
35	179	318
36	182	311
37	186	304
38	190	298
39	194	291
40	197	284
41	199	275
42	204	270
43	208	265
44	212	260
45	217	255
46	222	250
47	226	244
48	230	239
49	234	234
50	238	229
51	243	225
52	248	220
53	253	216
54	257	210
55	261	205
56	265	200
57	271	196
58	276	192
59	280	186
60	284	182
61	291	178
62	296	173
63	300	169
64	304	163
65	308	158
66	313	154
67	317	149
68	321	144
69	325	139
70	329	134
71	334	130
72	338	125
73	344	120
74	348	116
75	352	111
76	356	106
77	361	101
78	365	97
79	369	92
80	373	87
81	377	82
82	381	78
83	385	73
84	389	68
85	393	64
86	396	59
87	400	54
88	404	50
89	408	45
90	413	40
91	417	36
92	422	31
93	427	27
94	432	22
95	436	18
96	440	13
97	444	9
98	448	4
99	452	0
